"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2017,"González, Erik",114,"R",115,0,"0.0",".000",115,"100.0",".291"
2017,"Lindor, Francisco",114,"R",242,0,"0.0",".000",242,"100.0",".374"
2017,"Díaz, Yandy",114,"R",179,0,"0.0",".000",179,"100.0",".306"
2017,"Lucroy, Jonathan",115,"R",473,0,"0.0",".000",473,"100.0",".312"
2017,"LeMahieu, DJ",115,"R",670,0,"0.0",".000",670,"100.0",".340"
2017,"Hanigan, Ryan",115,"R",110,0,"0.0",".000",110,"100.0",".289"
2017,"Valaika, Pat",115,"R",194,0,"0.0",".000",194,"100.0",".340"
2017,"Tapia, Raimel",115,"L",168,0,"0.0",".000",168,"100.0",".326"
2017,"Amarista, Alexi",115,"L",176,0,"0.0",".000",176,"100.0",".267"
2017,"Desmond, Ian",115,"R",370,0,"0.0",".000",370,"100.0",".304"
2017,"Sánchez, Yolmer",145,"R",130,0,"0.0",".000",130,"100.0",".284"
2017,"Presley, Alex",116,"L",263,0,"0.0",".000",263,"100.0",".334"
2017,"Candelario, Jeimer",116,"L",116,0,"0.0",".000",116,"100.0",".316"
2017,"Maybin, Cameron",117,"R",446,0,"0.0",".000",446,"100.0",".299"
2017,"Butera, Drew",118,"R",177,0,"0.0",".000",177,"100.0",".266"
2017,"Cabrera, Melky",118,"L",498,0,"0.0",".000",498,"100.0",".314"
2017,"Cabrera, Melky",118,"R",161,0,"0.0",".000",161,"100.0",".331"
2017,"Taylor, Chris",119,"R",560,0,"0.0",".000",560,"100.0",".360"
2017,"Barnes, Austin",119,"R",259,0,"0.0",".000",259,"100.0",".385"
2017,"Suzuki, Ichiro",146,"L",214,0,"0.0",".000",214,"100.0",".287"
2017,"Prado, Martín",146,"R",147,0,"0.0",".000",147,"100.0",".274"
2017,"Strange-Gordon, Dee",146,"L",691,0,"0.0",".000",691,"100.0",".314"
2017,"Riddle, JT",146,"L",245,0,"0.0",".000",245,"100.0",".270"
2017,"Ellis, A.J.",146,"R",163,0,"0.0",".000",163,"100.0",".294"
2017,"Bandy, Jett",158,"R",187,0,"0.0",".000",187,"100.0",".282"
2017,"Villar, Jonathan",158,"R",125,0,"0.0",".000",125,"100.0",".271"
2017,"Arcia, Orlando",158,"R",539,0,"0.0",".000",539,"100.0",".309"
2017,"Braun, Ryan",158,"R",422,0,"0.0",".000",422,"100.0",".343"
2017,"Sogard, Eric",158,"L",298,0,"0.0",".000",298,"100.0",".342"
2017,"Pérez, Hernán",158,"R",455,0,"0.0",".000",455,"100.0",".295"
2017,"Grossman, Robbie",142,"R",149,0,"0.0",".000",149,"100.0",".320"
2017,"Granite, Zack",142,"L",107,0,"0.0",".000",107,"100.0",".278"
2017,"Polanco, Jorge",142,"R",177,0,"0.0",".000",177,"100.0",".286"
2017,"d'Arnaud, Travis",121,"R",371,0,"0.0",".000",371,"100.0",".310"
2017,"Aoki, Norichika",121,"L",371,0,"0.0",".000",371,"100.0",".314"
2017,"Rivera, T.J.",121,"R",230,0,"0.0",".000",230,"100.0",".328"
2017,"Rosario, Amed",121,"R",170,0,"0.0",".000",170,"100.0",".282"
2017,"Cabrera, Asdrúbal",121,"R",136,0,"0.0",".000",136,"100.0",".407"
2017,"Reynolds, Matt",121,"R",128,0,"0.0",".000",128,"100.0",".277"
2017,"Lagares, Juan",121,"R",271,0,"0.0",".000",271,"100.0",".288"
2017,"Reyes, José",121,"R",134,0,"0.0",".000",134,"100.0",".355"
2017,"Romine, Austin",147,"R",252,0,"0.0",".000",252,"100.0",".250"
2017,"Holliday, Matt",147,"R",426,0,"0.0",".000",426,"100.0",".319"
2017,"Frazier, Clint",147,"R",142,0,"0.0",".000",142,"100.0",".298"
2017,"Brugman, Jaycob",133,"L",158,0,"0.0",".000",158,"100.0",".311"
